City_ID,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
89,cabo san lucas,MX,1558378605,22.89,-109.91,91,34,5,11.41
90,camacha,PT,1558378786,33.08,-16.33,68,72,40,14.99
91,cape town,ZA,1558378755,-33.93,18.42,55.99,76,20,8.05
92,carballo,ES,1558378860,43.21,-8.69,63,44,0,5.82
93,carnarvon,ZA,1558378797,-30.97,22.13,50.1,65,58,14.94
94,cartagena del chaira,CO,1558378878,1.33,-74.84,79.62,89,98,3.22
95,castro,CL,1558378756,-42.48,-73.76,48.2,70,0,9.17
96,cayenne,GF,1558378571,4.94,-52.33,86,70,40,14.99
97,champoton,MX,1558378890,19.35,-90.72,95,39,20,11.41
98,chapais,CA,1558378856,49.78,-74.86,44.6,93,90,6.93
99,charlestown,US,1558378784,41.38,-71.64,87.01,64,1,12.75
100,chauk,MM,1558378891,20.89,94.82,91.5,41,67,5.55
101,chernaya kholunitsa,RU,1558378890,58.85,51.72,42.9,52,90,5.82
102,cherskiy,RU,1558378863,68.75,161.3,24,96,100,7.16
103,chiredzi,ZW,1558378856,-21.05,31.67,65.76,42,0,0.78
104,chokurdakh,RU,1558378788,70.62,147.9,7.08,89,0,5.99
105,christchurch,NZ,1558378744,-43.53,172.64,51.01,100,1,3.36
106,chunhuhub,MX,1558378846,19.59,-88.59,96.72,35,5,7.02
107,chuy,UY,1558378776,-33.69,-53.46,65.58,91,96,13.78
108,cidreira,BR,1558378770,-30.17,-50.22,76.56,66,0,5.5
109,clinton,US,1558378556,41.84,-90.19,55.4,54,75,10.29
110,clyde river,CA,1558378787,70.47,-68.59,28.4,86,75,12.75
111,coahuayana,MX,1558378783,18.62,-100.35,100.5,22,1,4.38
112,cobija,BR,1558378828,-11.02,-68.77,89.6,55,75,3.36
113,cockburn town,TC,1558378560,21.46,-71.14,80.52,79,1,12.5
114,codrington,AU,1558378791,-28.95,153.24,60.8,93,90,5.82
115,coihaique,CL,1558378837,-45.58,-72.07,46.4,59,0,4.7
116,colonelganj,IN,1558378759,27.13,81.7,94.2,14,0,5.08
117,comodoro rivadavia,AR,1558378608,-45.87,-67.48,55.4,37,0,16.11
118,constitucion,MX,1558378757,23.99,-104.67,84.2,4,5,16.11
119,cooma,AU,1558378860,-36.24,149.13,53.6,71,11,10.29
120,coquimbo,CL,1558378792,-29.95,-71.34,64.4,59,75,5.82
121,cravo norte,CO,1558378778,6.3,-70.2,85.02,67,100,3.09
122,crotone,IT,1558378768,39.09,17.12,62.6,67,20,10.29
123,darhan,MN,1558378857,49.49,105.92,51.72,36,32,1.7
